show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
139280,TV Show,Queenmaker,,"Kim Hee-ae, Moon So-ri, Ryu Soo-young, Seo Yi-sook, Ok Ja-yeon",South Korea,2023-04-14,2023,7.2,1 Seasons,Drama,ko,"After a tragic accident, a powerful fixer uses her skills to transform a civil rights lawyer into the next mayor — and take down her former employer.",16.558,43.0,7.2
226082,TV Show,Drag Race México,,"Lolita Banana, Taiga Brava","Mexico, United States of America",2023-06-22,2023,6.7,1 Seasons,Reality,es,"In the Mexican spin-off from RuPaul's Drag Race, drag queens compete for the title of Mexico's Next Drag Superstar.",32.05,15.0,6.7
226425,TV Show,Warrior Girls,,"Meng Ziyi, Meng Wang, Yang Chaoyue, Kitty Zhang Yuqi, Guan Yue",China,2023-05-12,2023,7.0,1 Seasons,Reality,zh,,25.293,1.0,7.0
220284,TV Show,Take My Wife Away,,"Wen Moyan, Wang Jing Hao, Yang Zihua, Hong Jingjing, Chen Luxi",,2023-02-02,2023,0.0,1 Seasons,Drama,zh,"Qin Zhen, a modern financial female executive dreamed of returning to the Great Wei State and became the wife of the first bodyguard agency that was about to go bankrupt. Together, Fight with playboy husband and used modern management... (Source: Tencent Video at Youtube)",22.033,0.0,0.0
232493,TV Show,Battle of the Decades,,Jonathan Bennett,"Australia, United States of America",2023-08-16,2023,0.0,1 Seasons,Reality,en,"Teams of two chefs from different generations tackle challenges that require them to incorporate popular ingredients and gadgets from the past, as well as master viral food trends and classic dishes.",20.263,0.0,0.0
230564,TV Show,Hit It Off,,"Xie Na, Zhang Yishan, Ouyang Nana, Weijia Li, Wu Xin",,2023-07-13,2023,0.0,1 Seasons,Reality,zh,"“Hit It Off” is a captivating reality show that pairs up actors to undergo intensive training and enhance their acting skills. Over a dozen talented young actors coexist in a shared living space, showcasing to the audience the behind-the-scenes reality of an actor's life. Throughout their journey, the participants engage in daily activities that allow them to forge deeper connections with their fellow actors. Each individual enters the show with the goal of finding their ideal screen partner, delivering exceptional performances, and solidifying their commitment to becoming outstanding performers. In the grand finale, a panel of one hundred esteemed audience members will have the privilege of determining which team deserves the coveted title of “The Best Screen Partners"".",24.505,0.0,0.0
222835,TV Show,The Third Finger Offered to a King,,"Kanna Hashimoto, Ryosuke Yamada, Nanako Matsushima, Ryota Bando, Kento Nagao",Japan,2023-04-18,2023,8.2,1 Seasons,"Drama, Comedy",ja,"Ayaka, who works at the bridal department at a hotel, has a beauty that everyone recognizes, yet her personality is the worst. Everyone calls her a ""wicked woman"" after the way she wraps numerous men around her finger. The one who sets his eyes on her is the hotel's new executive Togo, who is the son of a very powerful person of the town. What are the orders that this King-like man requests of her!?",19.298,10.0,8.2
226761,TV Show,Sex Hub,Bobby Bonifacio,"Micaella Raz, Joko Diaz, Karl Aquino, Yda Manzano, Salome Salvi",Philippines,2023-06-04,2023,5.2,1 Seasons,Drama,tl,"Sex hub is about a daughter entrapped in a sinister sex streaming house where captives are forced to perform sexual acts for online tips, and a father who races to rescue his daughter.",24.366,4.0,5.2
219673,TV Show,The Kingdoms of Ruin,,"Kaito Ishikawa, Azumi Waki, Ryoko Shiraishi, Satoshi Hino, Hikaru Tono",Japan,2023-10-07,2023,7.4,1 Seasons,"Animation, Action & Adventure, Sci-Fi & Fantasy",ja,"Witches were once respected for the wisdom and magic they gifted to humans. But with the rise of the Gear Expansion era, the new science community deemed them as enemies who hindered the progress of society. Thus began the slaughter of all witches, including one who had mentored a human boy named Adonis. After witnessing her death, Adonis vows to bring bloodshed and terror to the human race.",23.419,72.0,7.4
225335,TV Show,Tour de France: Unchained,,Jonathan Vaughters,France,2023-06-08,2023,8.39,1 Seasons,Documentary,fr,"Through tears and triumph, this series follows several cycling teams as they compete in the 2022 installment of the world's most grueling bike race.",32.279,50.0,8.39
